Age;Sleep;Mouse;T1;T2;T3;Test
Young;Control;AT10;42,5;26,75;8;48,75
Young;Control;AT11;41,5;33,25;17,75;60,75
Young;Control;AT14;63,5;9,75;19,5;34
Young;Control;AT15;62;67;31,5;42,65
Young;Control;AT16;61,996;41,25;42,5;42,25
Young;Control;AT18rerun;25,5;14,25;11,75;27,25
Young;Control;AT23;41;60,25;37;25,25
Young;Control;R94;49;9,5;7,75;27,7
Young;Control;AK8;120;12,25;16,25;17,35
Young;Control;R57;37,5;25,5;37;24,5
Young;Control;R81;48;36,75;21;61,25
Young;Control;r93;77,5;19;31,5;29
Young;Control;R112_objectD1_T1;17,533;45,066;24,366;46,966
Young;Control;AT20;29;23;9,5;13
Young;Control;MT6c_obj1rerun;80,665;46,599;52,633;24,662
Young;Control;MT2c;76,667;60,9;62,1;65,833
Young;Control;MT7c_obj1rerun;40,015;21,033;45,599;38,099
Young;SR;AT18SR;23,25;21,5;12;10,6
Young;SR;AT14SR;50,995;26,5;2,75;11,5
Young;SR;AT16Sr;82,5;46,5;52,5;50,5
Young;SR;AT11SR;48;42;23;41,5
Young;SR;R95SR;68,25;21,75;27,5;50,5
Young;SR;R93Sr;74,75;5,5;24,25;31
Young;SR;AT15SR;11,5;43;13,5;10,5
Young;SR;at28Sr;25,5;12,5;11;16,25
Young;SR;r94SR;25;20,5;21,5;12
Young;SR;r102SR;36,25;13,5;12,75;33,488
Young;SR;RB3SR;84,987;38,466;50,133;34,134
Young;SR;KR1SR;83,932;81,332;77,865;50,933
Young;SR;MT7sd;59,032;62,499;45;27
Young;SR;mt5sd;75,627;55,265;61,298;85,865
Young;SR;mt8sd;65,797;25,933;38,032;55,366
Old;Control;R53;47,073;18,031;10,015;47,698
Old;Control;AT9;49,5;70,5;28;21,5
Old;Control;R115c_obj1;62,5;55,25;40,75;52
Old;Control;R104;24,25;13,5;24,25;14,75
Old;Control;AT19;25,25;11,5;6,75;14,25
Old;Control;at24;95;21;21;11,5
Old;Control;AT13;14,6;14,166;15,25;21,066
Old;Control;rb6c_obj31;33,6;46,932;43,699;51,354
Old;Control;old2c_objecttask1;50,933;44,166;42,4;36,066
Old;Control;old1c_objecttask1;60,098;26,699;23,633;39,615
Old;Control;HR2;74,529;68,8;75,698;47,757
Old;Control;R75;102,328;86,265;82,699;50,215
Old;Control;R72;24,267;49,833;21,667;9,3
Old;SR;AT4SR;34,5;23,75;21;43,25
Old;SR;AT9SR;73,5;23,25;8,25;17,059
Old;SR;AT13Sr;44,5;50,25;28,5;53,25
Old;SR;KR2Sr;64,056;66,732;48,432;28,2
Old;SR;R75Sr;130,75;104,5;41,75;59
Old;SR;AT21Sr;27;5,75;9,75;30,25
Old;SR;AT19Sr;13;14,25;21,25;10,75
Old;SR;R104Sr;40,75;16,5;10,75;30,75
Old;SR;at24Sr;47;36;16;11,75
Old;SR;at26Sr;21,25;15,25;20,25;13,5
Old;SR;R108sd;38,467;60,999;36,466;114,998
Old;SR;R115sd;20,932;14,233;27,3;26,531
Old;SR;R113sd;28,811;16,709;30,667;32,598
Old;SR;old2sd;102,729;60,832;61,866;62,168
Old;SR;AT12Sr;56,525;24,5;28,25;29,25