Subject;Label_P;Label_T;Group;DepVar
AT_21_O_C_R;Wake;Wake;Old;0,2879
AT_21_O_C_R;NREM;Wake;Old;0,06108
AT_21_O_C_R;REM;Wake;Old;0,01022
AT_21_O_C_R;Wake;NREM;Old;0,00311
AT_21_O_C_R;NREM;NREM;Old;0,5589
AT_21_O_C_R;REM;NREM;Old;0,02954
AT_21_O_C_R;Wake;REM;Old;0,0006664
AT_21_O_C_R;NREM;REM;Old;0,0008885
AT_21_O_C_R;REM;REM;Old;0,04776
AT_12_O_D_R;Wake;Wake;Old;0,1897
AT_12_O_D_R;NREM;Wake;Old;0,02177
AT_12_O_D_R;REM;Wake;Old;0,01155
AT_12_O_D_R;Wake;NREM;Old;0,009998
AT_12_O_D_R;NREM;NREM;Old;0,6463
AT_12_O_D_R;REM;NREM;Old;0,02244
AT_12_O_D_R;Wake;REM;Old;0,01111
AT_12_O_D_R;NREM;REM;Old;0,004443
AT_12_O_D_R;REM;REM;Old;0,08265
MT_0_O_D_R;Wake;Wake;Old;0,2275
MT_0_O_D_R;NREM;Wake;Old;0,02533
MT_0_O_D_R;REM;Wake;Old;0,0331
MT_0_O_D_R;Wake;NREM;Old;0,0391
MT_0_O_D_R;NREM;NREM;Old;0,5608
MT_0_O_D_R;REM;NREM;Old;0,007554
MT_0_O_D_R;Wake;REM;Old;0,01955
MT_0_O_D_R;NREM;REM;Old;0,004666
MT_0_O_D_R;REM;REM;Old;0,08243
AEG_2_O_D_R;Wake;Wake;Old;0,3273
AEG_2_O_D_R;NREM;Wake;Old;0,001555
AEG_2_O_D_R;REM;Wake;Old;0,06132
AEG_2_O_D_R;Wake;NREM;Old;0,001777
AEG_2_O_D_R;NREM;NREM;Old;0,4874
AEG_2_O_D_R;REM;NREM;Old;0,0008887
AEG_2_O_D_R;Wake;REM;Old;0,001111
AEG_2_O_D_R;NREM;REM;Old;0,0006665
AEG_2_O_D_R;REM;REM;Old;0,118
AT_10_Y_C_P;Wake;Wake;Young;0,2088
AT_10_Y_C_P;NREM;Wake;Young;0,04488
AT_10_Y_C_P;REM;Wake;Young;0,02022
AT_10_Y_C_P;Wake;NREM;Young;0,01155
AT_10_Y_C_P;NREM;NREM;Young;0,6048
AT_10_Y_C_P;REM;NREM;Young;0,01066
AT_10_Y_C_P;Wake;REM;Young;0,003777
AT_10_Y_C_P;NREM;REM;Young;0,003999
AT_10_Y_C_P;REM;REM;Young;0,09131
AT_15_Y_C_R;Wake;Wake;Young;0,315
AT_15_Y_C_R;NREM;Wake;Young;0,02199
AT_15_Y_C_R;REM;Wake;Young;0,004665
AT_15_Y_C_R;Wake;NREM;Young;0,008219
AT_15_Y_C_R;NREM;NREM;Young;0,5791
AT_15_Y_C_R;REM;NREM;Young;0,01799
AT_15_Y_C_R;Wake;REM;Young;0,003998
AT_15_Y_C_R;NREM;REM;Young;0,009996
AT_15_Y_C_R;REM;REM;Young;0,03909
AT_18_Y_D_R;Wake;Wake;Young;0,3099
AT_18_Y_D_R;NREM;Wake;Young;0,007108
AT_18_Y_D_R;REM;Wake;Young;0,00311
AT_18_Y_D_R;Wake;NREM;Young;0,01466
AT_18_Y_D_R;NREM;NREM;Young;0,5424
AT_18_Y_D_R;REM;NREM;Young;0,01333
AT_18_Y_D_R;Wake;REM;Young;0,01533
AT_18_Y_D_R;NREM;REM;Young;0,01044
AT_18_Y_D_R;REM;REM;Young;0,08374
MT_7_Y_D_R;Wake;Wake;Young;0,2711
MT_7_Y_D_R;NREM;Wake;Young;0,01178
MT_7_Y_D_R;REM;Wake;Young;0,03399
MT_7_Y_D_R;Wake;NREM;Young;0,0004443
MT_7_Y_D_R;NREM;NREM;Young;0,5614
MT_7_Y_D_R;REM;NREM;Young;0,04666
MT_7_Y_D_R;Wake;REM;Young;0,0002222
MT_7_Y_D_R;NREM;REM;Young;0,001777
MT_7_Y_D_R;REM;REM;Young;0,07265
TT;Wake;Wake;Young;27,62
TT;NREM;Wake;Young;2,144
TT;REM;Wake;Young;1,55
TT;Wake;NREM;Young;0,8719
TT;NREM;NREM;Young;57,19
TT;REM;NREM;Young;2,216
TT;Wake;REM;Young;0,5831
TT;NREM;REM;Young;0,6553
TT;REM;REM;Young;7,17
TT;Wake;Wake;Old;25,81
TT;NREM;Wake;Old;2,743
TT;REM;Wake;Old;2,905
TT;Wake;NREM;Old;1,35
TT;NREM;NREM;Old;56,33
TT;REM;NREM;Old;1,511
TT;Wake;REM;Old;0,8109
TT;NREM;REM;Old;0,2666
TT;REM;REM;Old;8,27