technician;name;Group;Age;Sleep;period;fullname;subtype;sum_before;sum_after
AT;10;Young_C;Young;control;P;AT_10_Y_C_P;YCP;35,72727273;5,090909091
AT;15;Young_C;Young;control;P;AT_15_Y_C_P;YCP;36,36363636;10
AT;16;Young_C;Young;control;P;AT_16_Y_C_P;YCP;44;13,27272727
AT;18rr;Young_C;Young;control;P;AT_18rr_Y_C_P;YCP;37,10344828;26,75862069
AT;25;Young_C;Young;control;P;AT_25_Y_C_P;YCP;26,90196078;25,56862745
MT;2;Young_C;Young;control;P;MT_2_Y_C_P;YCP;44,10810811;18,75675676
MT;5;Young_C;Young;control;P;MT_5_Y_C_P;YCP;34,38961039;22,23376623
MT;7;Young_C;Young;control;P;MT_7_Y_C_P;YCP;39,55555556;11,55555556
MT;8;Young_C;Young;control;P;MT_8_Y_C_P;YCP;34,26086957;11,02173913
AEG;1;Old_C;Old;control;P;AEG_1_O_C_P;OCP;43,91428571;22,97142857
AEG;2;Old_C;Old;control;P;AEG_2_O_C_P;OCP;21,25;9,645833333
AT;13;Old_C;Old;control;P;AT_13_O_C_P;OCP;38,66666667;11
AT;19;Old_C;Old;control;P;AT_19_O_C_P;OCP;30,91891892;13,18918919
AT;21;Old_C;Old;control;P;AT_21_O_C_P;OCP;49,33333333;12
AT;24;Old_C;Old;control;P;AT_24_O_C_P;OCP;21,33333333;11,33333333
AT;9;Old_C;Old;control;P;AT_9_O_C_P;OCP;30,90909091;21,6
RB;6;Old_C;Old;control;P;RB_6_O_C_P;OCP;31,77358491;17,28301887