technician;name;age;type;period;subtype;codename;sum_before;sum_after;Behavior
AEG;99;Y;C;R;YCR;AEG_99_Y_C_R;60;26,66666667;24
AT;10;Y;C;R;YCR;AT_10_Y_C_R;39,05882353;8,941176471;22,8
AT;11;Y;C;R;YCR;AT_11_Y_C_R;20,30769231;20,61538462;16
AT;14;Y;C;R;YCR;AT_14_Y_C_R;35,96153846;11,53846154;-6,08
AT;15;Y;C;R;YCR;AT_15_Y_C_R;22,13333333;9,866666667;3,04
AT;16;Y;C;R;YCR;AT_16_Y_C_R;40,5;12,5;19
AT;18rr;Y;C;R;YCR;AT_18rr_Y_C_R;32,71052632;26,21052632;4,5
MT;2;Y;C;R;YCR;MT_2_Y_C_R;42,08823529;18,08823529;25
MT;5;Y;C;R;YCR;MT_5_Y_C_R;38,55555556;15,02222222;18
MT;7;Y;C;R;YCR;MT_7_Y_C_R;46;4;21,9
MT;8;Y;C;R;YCR;MT_8_Y_C_R;33;12,83333333;-1,8
AEG;98;Y;D;R;YDR;AEG_98_Y_D_R;22,4;14,4;-15
AT;14;Y;D;R;YDR;AT_14_Y_D_R;35,05555556;13,27777778;8,6
AT;16;Y;D;R;YDR;AT_16_Y_D_R;33;2,4;-8
AT;18;Y;D;R;YDR;AT_18_Y_D_R;41,45454545;3,636363636;25,8
AT;20;Y;D;R;YDR;AT_20_Y_D_R;30,71428571;7,714285714;6
AT;28;Y;D;R;YDR;AT_28_Y_D_R;22,85714286;7,285714286;-14
AT;98;Y;D;R;YDR;AT_98_Y_D_R;32,5;14,21052632;-10
AT;99;Y;D;R;YDR;AT_99_Y_D_R;24,16;10,08;-12
KR;1;Y;D;R;YDR;KR_1_Y_D_R;13;6,75;-15
MT;7;Y;D;R;YDR;MT_7_Y_D_R;38,4;6,533333333;7,6
RB;3;Y;D;R;YDR;RB_3_Y_D_R;42,26086957;5,739130435;17,2
AEG;1;O;C;R;OCR;AEG_1_O_C_R;52,5;29,2;14,8
AT;12;O;C;R;OCR;AT_12_O_C_R;36,42307692;13,03846154;2,12
AT;13;O;C;R;OCR;AT_13_O_C_R;36,88888889;9,333333333;17,5
AT;19;O;C;R;OCR;AT_19_O_C_R;37,47368421;7,789473684;2,21
AT;21;O;C;R;OCR;AT_21_O_C_R;42,0625;11,25;8,28
AT;24;O;C;R;OCR;AT_24_O_C_R;35,22222222;13;-12
AT;97;O;C;R;OCR;AT_97_O_C_R;28,54545455;8,727272727;0,06
RB;6;O;C;R;OCR;RB_6_O_C_R;39,6;20,23333333;12,8
AEG;2;O;D;R;ODR;AEG_2_O_D_R;47,2;16,48;18
AEG;96;O;D;R;ODR;AEG_96_O_D_R;48,47826087;50,84782609;22
AT;12;O;D;R;ODR;AT_12_O_D_R;38,44444444;5,555555556;9
AT;19;O;D;R;ODR;AT_19_O_D_R;37,03225806;8,387096774;6,3
AT;21;O;D;R;ODR;AT_21_O_D_R;50,46153846;13,84615385;37
AT;24;O;D;R;ODR;AT_24_O_D_R;35,27272727;18,54545455;4
AT;26;O;D;R;ODR;AT_26_O_D_R;37,66666667;25,66666667;7
AT;9;O;D;R;ODR;AT_9_O_D_R;37,5;9,25;10
KR;2;O;D;R;ODR;KR_2_O_D_R;50,66666667;1,333333333;37
MT;0;O;D;R;ODR;MT_0_O_D_R;33,33333333;6,666666667;11
AT;10;Y;C;P;YCP;AT_10_Y_C_P;35,72727273;5,090909091;22,8
AT;15;Y;C;P;YCP;AT_15_Y_C_P;36,36363636;10;3,04
AT;16;Y;C;P;YCP;AT_16_Y_C_P;44;13,27272727;19
AT;18rr;Y;C;P;YCP;AT_18rr_Y_C_P;37,10344828;26,75862069;4,5
AT;25;Y;C;P;YCP;AT14;26,90196078;25,56862745;-6,08
MT;2;Y;C;P;YCP;MT_2_Y_C_P;44,10810811;18,75675676;25
MT;5;Y;C;P;YCP;MT_5_Y_C_P;34,38961039;22,23376623;18
MT;7;Y;C;P;YCP;MT_7_Y_C_P;39,55555556;11,55555556;21,9
MT;8;Y;C;P;YCP;MT_8_Y_C_P;34,26086957;11,02173913;-1,8
AEG;1;O;C;P;OCP;AEG_1_O_C_P;43,91428571;22,97142857;15
AEG;2;O;C;P;OCP;AEG_2_O_C_P;21,25;9,645833333;2,12
AT;13;O;C;P;OCP;AT_13_O_C_P;38,66666667;11;17,5
AT;19;O;C;P;OCP;AT_19_O_C_P;30,91891892;13,18918919;2,21
AT;21;O;C;P;OCP;AT_21_O_C_P;49,33333333;12;8,28
AT;24;O;C;P;OCP;AT_24_O_C_P;21,33333333;11,33333333;-12
AT;9;O;C;P;OCP;AT_9_O_C_P;30,90909091;21,6;0,06
RB;6;O;C;P;OCP;RB_6_O_C_P;31,77358491;17,28301887;12,8